_id,chunk_text
vec_11,"My Portfolio: If you have a login account, you can retrieve everything in yourPortfoliofrom a previous visit by logging in below. If you are a new user, you cancreate an account, which will allow you to save yourPortfolioand access it later. If you forgot your password, enter your e-mail address only and clickReset Password. You may add items to your own personal Portfolio as you browse through the online catalogs. The Portfolio feature will retain a list of courses, programs, pages, divisions, and saved searches that you have found interesting and wish to save for future visits. There are currently no courses in yourPortfolio. There are currently no programs in yourPortfolio. There are currently no navigation links in yourPortfolio. There are currently no divisions in yourPortfolio."
vec_12,"Modern Campus Catalog™ Online Help: Javascript is currently not supported, or is disabled by this browser. Please enable Javascript for full functionality. This document contains help on the following topics: For additional help, please contactsupport."
vec_13,"1. Selecting a Different Catalog: There may be more than one catalog available from the Stony Brook University system e-catalog Gateway at a time. If there is more than one, you will see a dropdown box toward the top of the page with the name of the current catalog. Clicking the dropdown box provides access to other available catalogs. Selecting an alternate catalog will load it into the Gateway. If you do not see the dropdown box, then only a single catalog is currently published. You may add information from any of the available catalogs to your own personalPortfolio. See below to learn more aboutUsing thePortfolioFeature."
vec_14,"2. Searching the Catalog: TheCatalog Search(shown at the top of the navigation) allows quick retrieval of catalog content that matches your interests. To use theCatalog Search, simply enter a search keyword or phrase and press ENTER. The search will find any matching content in the catalog including courses, programs, school/colleges, departments or other narrative content. Search options are available by clicking on theAdvanced Searchlink below the regular search form or by clicking theModify Search Optionslink after performing a search. The search options offer more precise searching of the catalog content. To limit your search to only specific types of catalog content, check only the checkboxes for content categories you wish to include in your search. Check the ""Whole Word/Phrase"" check box to search for an exact match for a keyword or phrase. For instance, entering ""bio"" will only return hits in which the term ""bio"" stands alone; it will not return any instances of the term ""biology"". The same is true if you enter a phrase. Click ""Show Prefix List"" to display a list of all course prefixes available in the catalog. You may enter a keyword phrase that includes a course prefix and code (like ""ENG 101"") to better locate a specific course. The closest available matches will be returned first. Click theSearchbutton to perform the search."
vec_15,"3. Browsing the Catalog: Overview You may easily browse through the catalogs by using the different navigation links on the left side of the page. Each catalog may have its own distinct set of navigation links. Some links may display pages about the catalog or other related information. Other links may display listings of courses or programs within the catalog. These navigation links may display other information that is broken down by various methods such as by school/colleges, by departments, or by program, or course types. Some pages may show ""Go to Information..."" links following a school/college or department which, when clicked, will display more information about that school/college or department. Course and program titles are almost always shown as links. Clicking on a course title will display course information below the course title about the course and a link toAdd toPortfolio(course information may be shown in a pop up window if you have an older browser). Clicking on a program title will display all the related information for the program as well as theAdd program toPortfoliolink. Clicking on theAdd toPortfoliolink will add information to yourPortfoliofor later retrieval. See below to learn more aboutUsing thePortfolioFeature. FlashPoint™ Links Some school/colleges, departments, programs, and courses may have FlashPoint Links associated with them that may be a text link or a click-able graphic. These FlashPoint Links are links to an additional digital resource. The digital resource may be another web page, a text document, audio, video, or many other types of media and may require a special browser plug-in. To view a FlashPoint Link, simply click on it. All FlashPoint Links will be displayed in a new pop up window. To print a page click the print link. The ""Print Friendly"" version will open up with just the content of the page in it (no navigation or header). If you click the print link on a ""Print Friendly"" page the browser will popup with the print dialog allowing you to print that page. Problems with Gateway Print Links If your browser does not support the print link you may need to use the operating system or web browser's built in print functions instead."
vec_16,"4. Using thePortfolioFeature: You may add items to your own personalPortfolioas you browse through the online catalogs. ThePortfoliofeature will retain a list of courses, programs, pages, divisions and saved searches that you have found interesting and wish to save for future visits to the online Stony Brook University catalogs. To add items click theAdd toPortfoliolink or star icon next to the item in which you are interested. This will open a new popup window that displays all items currently in yourPortfolio. You may remove items from yourPortfolioby selecting the checkboxes next to them and clicking theRemovebutton. Note: Items suffixed with the text[From Previous Catalog]are from older, outdated catalogs that are no longer available. You will need to search within newer catalogs to find alternative information to replace them. ThePortfoliofeature is based on an account system. You must sign up in order to permanently store items in thePortfoliofeature. ThePortfoliofeature will store your favorite items using a combination of temporary and permanent storage in a database. This method requires that you register an account and login to permanently save information in thePortfolio. Items are still stored temporarily in the database until you login to yourPortfolio. Once you login, any temporary information will be saved into your account for permanent storage. To createa Portfolioaccount, simply chooseMy Portfoliofrom the left hand navigation and click on thecreate an accountlink. Now enter a valid e-mail address and a password. If you wish to have an admissions advisor contact you, select the contact checkbox. An advisor will contact you via e-mail. When done, click theCreate Accountbutton to create the account. Note: it is important to use a valid e-mail address in case you everforget your password. The account will be created and you will be logged in automatically. Any items you had already added to yourPortfoliowill now be stored permanently in your account. To login to yourPortfolioaccount, simply chooseMy Portfoliofrom the left hand navigation, enter your e-mail address and password and click theLoginbutton. If you have forgotten your password, just enter your e-mail address and click theReset Passwordbutton. An email will be sent to the email address you used to sign up for yourMy Portfolioaccount with a link that will enable you to reset your password. To logout, simply view yourPortfolioand click theLogoutlink at top right. To edit yourPortfolioaccount information, login to yourPortfolioaccount and click on theEdit Profilelink at the top right of thePortfoliofeature. You may change your account login by entering a new e-mail address and clicking theSendbutton. To change your password, click on theChange Passwordlink. A pop up window will prompt you for a new password. Enter a new password and confirmation and click theResetbutton. When you are finished, you may close the pop up window."
vec_17,"All Catalogs: Javascript is currently not supported, or is disabled by this browser. Please enable Javascript for full functionality. Spring 2026 Undergraduate CatalogSpring 2026 Graduate CatalogSpring 2026 Health Sciences CatalogFall 2025 Undergraduate Catalog[ARCHIVED CATALOG]Fall 2025 Graduate Catalog[ARCHIVED CATALOG]Fall 2025 Health Sciences Catalog[ARCHIVED CATALOG] All catalogs © 2026 Stony Brook University. All rights reserved."
vec_18,"Admissions Overview: Stony Brook University is a highly selective institution, seeking to enroll those students who demonstrate the intellectual curiosity and academic ability to succeed. Stony Brook evaluates applicants on an individual basis. There is no automatic cutoff in the admission process, either in grade point average, rank, or test scores. The Admissions Committee seeks to enroll the strongest and most diverse class possible"
vec_19,"Admission of Students with Disabilities: The academic admission procedures for students with a disability, including students with a learning disability, are the same as for all other applicants. An interview is strongly recommended. The Admissions Office works closely with the Student Accessibility Support Center throughout the admissions process."
vec_20,"Advanced Placement Credit: Advanced placement credit is granted to students who have taken the appropriate College Board advanced placement examination. Students must request that their test scores be forwarded to Stony Brook’s Undergraduate Admissions Office. Each academic department determines the minimum test score required to receive equivalency for a Stony Brook course. The table lists AP exams, the relevant scores, and Stony Brook equivalency and applicability to degree requirements. Note: Stony Brook accepts up to 30 credits by examination in partial fulfillment of the bachelor’s degree. Note: DIV credit is not awarded for scoring a 3, 4, or 5 on the AP Environmental Science exam."
vec_21,"Placement Tests: The university offers placement tests that evaluate the level of preparation of each student in mathematics, writing and foreign language. The score on the examinations are used to place the student in appropriate courses that best match his or her skills. The exams are used only for registration purposes, and carry no credit value. The preliminary score becomes invalid after two semesters. Each exam tests the student’s skills at the time the test is taken, and students are advised to study beforehand. Preliminary versions of the examinations are available, and all incoming students, including transfers, should take the preliminary placement examinations."
vec_22,"Math Placement: *Scores on unproctored math placement exams are used only for registration purposes. Only proctored math placement exams with scores of 6 or higher will fulfill QPS and major/minor requirements. Note: Higher level placements may take courses with lower level placements as long as the student does not already have credit for that course. For example, a student with placement level 6 could takeMAT 131andMAT 200, if desired."
vec_23,"Writing Placement: See chart below for additional information. Every student must demonstrate a sufficient level of writing proficiency to graduate from Stony Brook University by completing a writing sequence culminating in theWRT 102 Intermediate Writing Workshop. Depending on individual student preparation, students will enroll initially in writing courses in the Program in Academic English (WAE 190,WAE 192,WAE 194) and/or in the Program in Writing and Rhetoric (WRT 101,WRT 102). Final placement is verified and adjusted as needed during the first week of classes. Details of the policy are below. New freshmen and transfer students who have not transferred an equivalent course from another collegiate institution will be assigned to a writing course appropriate to their level of preparation based on the criteria discussed in detail below.If any one of the criteria below places you intoWRT 102, then you are not required to complete the Online Writing Placement Exam. Students with an Evidence-Based Reading and Writing (EBRW) score of 580 or higher will be placed intoWRT 102. Faculty from the Program in Writing and Rhetoric and Program in Academic English will review the online writing placement exam of students with an Evidence-Based Reading and Writing score (EBRW) below 580 to determine placement into the appropriate writing course. Students with an English Language Arts (ELA)* score of 23 or higher will be placed intoWRT 102. Faculty from the Program in Writing and Rhetoric and Program in Academic English will review the online writing placement exam of students with an English Language Arts (ELA)* score below 23 to determine placement into the appropriate writing course. *Without a writing test score, no English Language Arts (ELA) score will be reported. AP Scores Students who have received AP scores in English Language/Composition or English Literature/Composition with a score of 3 or higher will be placed intoWRT 102. Seehttps://www.stonybrook.edu/sb/bulletin/current/policiesandregulations/admissions/apcredit.phpfor more information. Transfer Course Equivalence Students who have transfer college credit in English Composition from a regionally accredited institution with a grade of C or higher can determine transfer equivalency information by visiting Stony Brook’s transfer equivalency page here. Online Writing Placement Exam All matriculating students who have not satisfied the SBU writing requirement (WRT 102) or who have not been placed intoWRT 102through one of the established mechanisms listed above will take an online writing placement exam. Students will read excerpts from source texts and respond to a writing prompt. This 30-60 minute online writing exam will be made available to students as described below. Failure to complete the online writing exam could impact a student’s ability to register for a writing course and to make degree progress. Freshmen Students Freshmen students who need to complete the online writing placement exam will be contacted about this by the Program in Writing and Rhetoric via email in late May of students’ intended year of matriculation. Transfer Students Transfer students who are instructed to complete the online writing placement exam should emailJilleen.May@stonybrook.eduto request access to the exam. Please plan for a two (2) business day response time. Final Placement In the first week of WRT and WAE class, faculty may ask students to complete a writing sample to determine if the students’ current writing placement is appropriate. When necessary, faculty evaluation could require students to change their writing course. Advisors are available to assist students with schedule changes if needed."
vec_24,"Credit by Examination: Stony Brook accepts up to 30 credits by examination in partial fulfillment of the bachelor’s degree. Advanced placement credit is granted to students who have taken the appropriate College Board advanced placement examination and scored a 3 or higher.Click herefor a table listing of available AP exams, the relevant scores, and Stony Brook University equivalency and applicability to degree requirements. Students must request that their test scores be forwarded to Stony Brook University’s Undergraduate Admissions Office fromAP Services. Visit College Board at:apscore.org(school code 2548). International Baccalaureate: Stony Brook University will award six credits for International Baccalaureate higher-level exams with scores of 5 or higher for year-long courses. The University awards credit for the CLEP (College-Level Examination Program) subject examinations only. Credit is not awarded for the CLEP general examinations. CLEP exam credit will not be awarded for language exams for a language formerly studied. No student may take a CLEP exam in a subject matter that is a prerequisite for a course already passed, or is similar in subject matter to a course taken. The scores received must be equivalent to a grade of C. General Certificate of Education Advanced Level (A-Level): Stony Brook University will award up to eight credits per subject for A-level (Advanced) exams in year-long courses with grade equivalents of a US C or better. DSST, or DANTES Subject Standardized Tests taken by military service members and veterans are accepted following the same standards as CLEP examinations. Credit requested for examinations or programs not specifically mentioned above must be substantiated by the appropriate documentation. Requests for reviews of students’ qualifications must be submitted in writing to the Undergraduate Admissions Office. Pleaseclick herefor the SUNY policy on Credit for Prior Learning."
vec_25,"Transfer Course/Credit Policies: Transfer courses are evaluated individually. Courses taken at institutions in the United States: Credits for all courses passed with a letter grade of C or higher at regionally accredited institutions or recognized by the National College Credit Recommendation Service and recorded on official transcripts will be evaluated and may be accepted for applicability to specific Stony Brook University degree requirements. Credits for successfully completed courses from these institutions for which a grade equivalent to “P” or “S” was assigned may also be accepted. Credits for courses from institutions with other than regional accreditation are evaluated for transfer purposes on a case-by-case basis. Courses taken at institutions outside the United States: College-level courses passed with a letter grade of C or higher completed outside the United States and recorded on official transcripts will be evaluated for transfer credit, provided that the institution where the courses were taken is accredited by the Ministry of Education in that country. International transfer students who have completed college level courses outside the United States may be requested to submit proof of accreditation by the Ministry of Education or provide a WES (World Education Service) or another NACES accredited evaluation. All academic courses successfully completed with a grade of C or higher at a fully accredited college or university are transferable; however, the University reserves the right to determine what constitutes an academic course. Most baccalaureate degrees at Stony Brook require 120 credits. After earning 57 credits, the student must complete 36 credit hours at Stony Brook. The University will, therefore, accept a maximum of 84 transfer credits including test credits. All official transcripts from all colleges and universities attended must be submitted by August 15 if the student enters the University in the fall semester or by January 15 if the student enters the University in the spring semester. Graduates of SUNY or CUNY colleges who earned an Associate in Arts or Associate in Science degree prior to matriculation at Stony Brook University are guaranteed junior standing. Students who have received an AA or AS from a SUNY or CUNY school are guaranteed to earn 60 credits. The University will accept a “D” grade to meet that 60 credit guarantee. However, courses with a “D” will not receive a direct equivalency or fulfill a general education requirement. Official proof of an A.A. or A.S. degree must be submitted by August 15 if the student enters the University in the fall semester or by January 15 if the student enters the University in the spring semester. Transfer credit is entered on the official University transcript, and may not be removed from the official transcript once posted. Grades received for transferred courses are not shown nor are they included in the calculation of the student’s cumulative grade point average at Stony Brook University. Almost all credits earned at community and technical colleges are considered to be lower-division credit. Transfer courses are reviewed individually by the Tansfer Services office for their applicability toward fulfillment of general education requirements. Applicants who have completed college-level study at an institution outside of the United States will have their credits evaluated for application to the University’s general education requirements by the Transfer Office. Course work taken at institutions other than Stony Brook after matriculation will not transfer asWRT 102. WRT 102 cannot be transferred from an international school. Courses satisfactorily completed elsewhere toward the intended major or needed to fulfill the 39 upper-division credits requirement must be evaluated by the appropriate academic department for specific applicability. No transferred course with a grade lower than C may be counted among the 39 upper-division credits required for graduation. Forms for requesting the evaluation of specific courses for major and upper-division credit are availablehere. Students may begin the evaluation process upon matriculation. Courses taken at other universities and colleges in a technology curriculum will normally not be transferred as equivalents to engineering or applied sciences courses. Courses offered by regionally accredited colleges and completed while the student was in high school will be evaluated for transfer credit according to the guidelines in the Application of Transfer Credits to General Education Requirements of the Undergraduate Catalog. Stony Brook accepts the recommended American Council on Education (ACE) credits for military courses on the Joint Service Transcript (JST) and General Education requirements may be satisfied. Credit for theTECH SBCmay be given for military experience on a case by case basis. Students will receive transfer credit for a maximum of four credits of 100-level physical education courses. Students must list on their application for admission all institutions attended after high school graduation. Those who fail to do so will not receive this transfer credit and may be subject to a range of possible disciplinary actions, including admission revocation and expulsion."
vec_26,"Selection of Area of Interest: All newly admitted freshmen, except those accepted into majors with approved limited access, are placed in the GEN (general program) category. At orientation, incoming freshmen are encouraged but not required to declare one of several areas of interest for which an advisor’s signature is not required. These areas of interest are listed on the Major/Minor Declaration Form, which is used for officially declaring an area of interest, major, minor, secondary education option, addition of major or minor, and change of major or minor. The forms are available from the Registrar’s Office, Academic and Transfer Advising Services, andonline. New freshmen who do not wish to declare an area of interest will remain in the GEN (general program) category. Those who have declared an area of interest may change to another area of interest. By officially declaring an area of interest, the student indicates his or her preference, but it does not guarantee a place in any major that has limited acceptance."
